playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,inducted
ahearpa01,4,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
ahmedni01,249,775,84,171,28,7,14,58.0,9.0,8.0,47,149.0,4.0,5.0,9.0,6.0,15.0,0.22064516129032258,N
aikenwi01,774,2492,301,675,125,2,110,415.0,3.0,6.0,319,444.0,42.0,18.0,0.0,27.0,87.0,0.27086677367576245,N
aingeda01,211,665,57,146,19,4,2,37.0,12.0,5.0,37,128.0,2.0,4.0,12.0,3.0,16.0,0.21954887218045113,N
ainsmed01,1078,3048,299,707,108,54,22,317.0,86.0,16.0,263,315.0,0.0,12.0,99.0,0.0,0.0,0.23195538057742782,N
ainswku01,30,28,1,2,1,0,0,0.0,0.0,0.0,0,8.0,0.0,0.0,5.0,0.0,0.0,0.07142857142857142,N
aitchra01,34,59,4,10,0,0,0,2.0,0.0,0.0,9,17.0,0.0,0.0,3.0,0.0,0.0,0.1694915254237288,N
aitonge01,10,17,1,4,0,0,0,1.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,N
akejo01,13,52,1,10,0,1,0,2.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.19230769230769232,N
akerfda01,125,9,0,1,0,0,0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,N
akerja01,496,92,3,7,2,0,0,4.0,0.0,0.0,1,51.0,0.0,1.0,10.0,0.0,1.0,0.07608695652173914,N
akersbi01,174,475,64,124,17,9,11,69.0,7.0,6.0,63,64.0,0.0,1.0,14.0,0.0,0.0,0.26105263157894737,N
akersje01,5,6,0,2,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,N
albagi01,3,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
albaljo01,66,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
albanjo01,6,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
alberan01,17,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
alberbu01,6,18,1,5,1,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.2777777777777778,N
albercy01,4,7,0,0,0,0,0,0.0,0.0,0.0,2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,N
albergu01,120,426,62,84,10,6,1,50.0,27.0,0.0,52,5.0,0.0,9.0,0.0,0.0,0.0,0.19718309859154928,N
alberha01,76,155,14,30,3,1,0,9.0,2.0,0.0,2,34.0,0.0,0.0,5.0,0.0,3.0,0.1935483870967742,N
alberjo01,27,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
alberma01,452,35,1,3,1,0,0,0.0,0.0,0.0,0,21.0,0.0,0.0,3.0,0.0,0.0,0.08571428571428572,N
